target,n_min,n_bins_produced,test_worst_coverage_DIAGNOSTIC_ONLY
mean_wait_minutes,40,30,0.8214285714285714
mean_wait_minutes,60,20,0.75
mean_wait_minutes,80,15,0.7678571428571429
mean_wait_minutes,100,12,0.8051948051948052
mean_wait_minutes,130,9,0.8656716417910447
mean_total_minutes,40,30,0.8
mean_total_minutes,60,20,0.8113207547169812
mean_total_minutes,80,15,0.85
mean_total_minutes,100,12,0.8604651162790697
mean_total_minutes,130,9,0.8805970149253731
p95_wait_minutes,40,30,0.8048780487804879
p95_wait_minutes,60,20,0.825
p95_wait_minutes,80,15,0.8392857142857143
p95_wait_minutes,100,12,0.85
p95_wait_minutes,130,9,0.8679245283018868
n_patients,40,30,0.8181818181818182
n_patients,60,20,0.8205128205128205
n_patients,80,15,0.847457627118644
n_patients,100,12,0.85
n_patients,130,9,0.8404255319148937
