W_max_minutes,arrival_rate_multiplier,n_capacity_star_cp_constrained,n_capacity_star_point_prediction_only,extra_capacity_from_using_cp_bound
60,0.8,35.0,26,9.0
60,0.9,35.0,30,5.0
60,1.0,35.0,33,2.0
60,1.1,36.0,36,0.0
60,1.2,,40,
60,1.3,,41,
90,0.8,35.0,25,10.0
90,0.9,35.0,29,6.0
90,1.0,35.0,31,4.0
90,1.1,35.0,34,1.0
90,1.2,,39,
90,1.3,,40,
120,0.8,35.0,25,10.0
120,0.9,35.0,28,7.0
120,1.0,35.0,31,4.0
120,1.1,35.0,34,1.0
120,1.2,,38,
120,1.3,,39,
180,0.8,28.0,24,4.0
180,0.9,31.0,25,6.0
180,1.0,35.0,30,5.0
180,1.1,35.0,32,3.0
180,1.2,,15,
180,1.3,42.0,16,26.0
240,0.8,25.0,21,4.0
240,0.9,28.0,23,5.0
240,1.0,33.0,25,8.0
240,1.1,35.0,15,20.0
240,1.2,39.0,15,24.0
240,1.3,40.0,15,25.0
