target,category,n_cal,n_test,pooled_coverage,pooled_width,mondrian_coverage,mondrian_width
n_patients,staff=High/arrival=High,138,148,0.8108108108108109,30.422678378140574,0.8851351351351351,35.55742634750044
n_patients,staff=High/arrival=Low,147,123,0.8536585365853658,30.422678378140574,0.8617886178861789,31.86320690913226
n_patients,staff=High/arrival=Med,163,115,0.8434782608695652,30.422678378140574,0.9217391304347826,39.242212300819006
n_patients,staff=Low/arrival=High,129,84,0.9642857142857143,30.422678378140574,0.8809523809523809,22.015647157674493
n_patients,staff=Low/arrival=Low,121,112,0.9642857142857143,30.422678378140574,0.9107142857142857,25.551177953627786
n_patients,staff=Low/arrival=Med,118,96,0.9791666666666666,30.422678378140574,0.9166666666666666,20.751861223122376
n_patients,staff=Med/arrival=High,133,112,0.8660714285714286,30.422678378140574,0.875,30.868590342996754
n_patients,staff=Med/arrival=Low,132,109,0.8715596330275229,30.422678378140574,0.8715596330275229,31.29693033351836
n_patients,staff=Med/arrival=Med,119,101,0.9108910891089109,30.422678378140574,0.9603960396039604,34.70530886365066
mean_wait_minutes,staff=High/arrival=High,138,148,0.9594594594594594,69.92597133590185,0.9256756756756757,60.65772041697074
mean_wait_minutes,staff=High/arrival=Low,147,123,1.0,69.92597133590185,0.9349593495934959,6.238141239526699
mean_wait_minutes,staff=High/arrival=Med,163,115,0.9826086956521739,69.92597133590185,0.9217391304347826,23.59268803831258
mean_wait_minutes,staff=Low/arrival=High,129,84,0.7619047619047619,69.92597133590185,0.8928571428571429,93.83011169092768
mean_wait_minutes,staff=Low/arrival=Low,121,112,0.875,69.92597133590185,0.9017857142857143,75.08746111434894
mean_wait_minutes,staff=Low/arrival=Med,118,96,0.8229166666666666,69.92597133590185,0.96875,116.38658333405058
mean_wait_minutes,staff=Med/arrival=High,133,112,0.9285714285714286,69.92597133590185,0.9464285714285714,74.07788706347905
mean_wait_minutes,staff=Med/arrival=Low,132,109,0.944954128440367,69.92597133590185,0.944954128440367,69.25582764024865
mean_wait_minutes,staff=Med/arrival=Med,119,101,0.9603960396039604,69.92597133590185,0.9603960396039604,79.19126035860813
mean_total_minutes,staff=High/arrival=High,138,148,0.9391891891891891,70.02120795897957,0.9391891891891891,63.954607460670076
mean_total_minutes,staff=High/arrival=Low,147,123,1.0,70.02120795897957,0.9349593495934959,23.10023776866683
mean_total_minutes,staff=High/arrival=Med,163,115,0.9739130434782609,70.02120795897957,0.9391304347826087,36.5795592066367
mean_total_minutes,staff=Low/arrival=High,129,84,0.8095238095238095,70.02120795897957,0.9047619047619048,89.0990463025123
mean_total_minutes,staff=Low/arrival=Low,121,112,0.8303571428571429,70.02120795897957,0.8928571428571429,77.4929425060671
mean_total_minutes,staff=Low/arrival=Med,118,96,0.8541666666666666,70.02120795897957,0.9895833333333334,114.71735057129189
mean_total_minutes,staff=Med/arrival=High,133,112,0.9017857142857143,70.02120795897957,0.9017857142857143,69.70405274042173
mean_total_minutes,staff=Med/arrival=Low,132,109,0.926605504587156,70.02120795897957,0.926605504587156,70.75456539724263
mean_total_minutes,staff=Med/arrival=Med,119,101,0.9405940594059405,70.02120795897957,0.9900990099009901,82.71247340036382
p95_wait_minutes,staff=High/arrival=High,138,148,0.9527027027027027,409.0751964985693,0.9324324324324325,368.92650131269465
p95_wait_minutes,staff=High/arrival=Low,147,123,1.0,409.0751964985693,0.926829268292683,28.295094172107525
p95_wait_minutes,staff=High/arrival=Med,163,115,0.9826086956521739,409.0751964985693,0.9217391304347826,127.06573132194069
p95_wait_minutes,staff=Low/arrival=High,129,84,0.8095238095238095,409.0751964985693,0.8690476190476191,492.705865614735
p95_wait_minutes,staff=Low/arrival=Low,121,112,0.9017857142857143,409.0751964985693,0.9285714285714286,452.05749776952854
p95_wait_minutes,staff=Low/arrival=Med,118,96,0.8854166666666666,409.0751964985693,0.90625,425.20947340241196
p95_wait_minutes,staff=Med/arrival=High,133,112,0.8392857142857143,409.0751964985693,0.9375,504.02403251043256
p95_wait_minutes,staff=Med/arrival=Low,132,109,0.944954128440367,409.0751964985693,0.9541284403669725,438.3480511036313
p95_wait_minutes,staff=Med/arrival=Med,119,101,0.900990099009901,409.0751964985693,0.9405940594059405,476.01372739982276
