target,n_bins,equal_width_worst_coverage,equal_width_best_coverage,geometric_worst_coverage,geometric_best_coverage
mean_wait_minutes,3,0.8863636363636364,0.9113149847094801,0.8970588235294118,0.90625
mean_wait_minutes,5,0.8758620689655172,0.968421052631579,0.8645833333333334,0.9240506329113924
mean_wait_minutes,9,0.8533333333333334,0.975,0.7142857142857143,1.0
mean_wait_minutes,15,0.8,1.0,0.5,1.0
mean_total_minutes,3,0.8962472406181016,0.9388379204892966,0.8888888888888888,0.9166666666666666
mean_total_minutes,5,0.896551724137931,0.9578947368421052,0.8820754716981132,0.9375
mean_total_minutes,9,0.8533333333333334,1.0,0.8928571428571429,1.0
mean_total_minutes,15,0.8695652173913043,1.0,0.75,1.0
p95_wait_minutes,3,0.9174311926605505,0.9205298013245033,0.9045138888888888,0.9201388888888888
p95_wait_minutes,5,0.896551724137931,0.9230769230769231,0.8797169811320755,0.9375
p95_wait_minutes,9,0.8899082568807339,0.967741935483871,0.8571428571428571,1.0
p95_wait_minutes,15,0.8421052631578947,0.9736842105263158,0.5714285714285714,1.0
n_patients,3,0.891832229580574,0.963302752293578,0.8784722222222222,0.9288194444444444
n_patients,5,0.8901098901098901,0.9533678756476683,0.84375,0.9635416666666666
n_patients,9,0.8745980707395499,0.9904761904761905,0.8825757575757576,1.0
n_patients,15,0.8545454545454545,1.0,0.7142857142857143,1.0
