target,category,n_cal,resid_std
n_patients,staff=High/arrival=High,126,9.289549507492788
n_patients,staff=High/arrival=Low,136,8.421735398724843
n_patients,staff=High/arrival=Med,157,8.981306333667813
n_patients,staff=Low/arrival=High,132,5.82232936025958
n_patients,staff=Low/arrival=Low,128,6.369466436297706
n_patients,staff=Low/arrival=Med,121,5.110611381065797
n_patients,staff=Med/arrival=High,142,6.928954861490496
n_patients,staff=Med/arrival=Low,136,8.490824003084752
n_patients,staff=Med/arrival=Med,122,8.38897215169771
mean_wait_minutes,staff=High/arrival=High,126,8.426661666765996
mean_wait_minutes,staff=High/arrival=Low,136,0.626871258138702
mean_wait_minutes,staff=High/arrival=Med,157,3.2974747950314
mean_wait_minutes,staff=Low/arrival=High,132,11.63233635012752
mean_wait_minutes,staff=Low/arrival=Low,128,9.41480128910051
mean_wait_minutes,staff=Low/arrival=Med,121,11.985557464862671
mean_wait_minutes,staff=Med/arrival=High,142,9.390640682553393
mean_wait_minutes,staff=Med/arrival=Low,136,7.38634531271119
mean_wait_minutes,staff=Med/arrival=Med,122,8.768652768855574
mean_total_minutes,staff=High/arrival=High,126,8.623098447970467
mean_total_minutes,staff=High/arrival=Low,136,2.801187247128611
mean_total_minutes,staff=High/arrival=Med,157,4.421339270911906
mean_total_minutes,staff=Low/arrival=High,132,9.481088432198721
mean_total_minutes,staff=Low/arrival=Low,128,9.614236007279414
mean_total_minutes,staff=Low/arrival=Med,121,11.50290620990695
mean_total_minutes,staff=Med/arrival=High,142,10.692701799921087
mean_total_minutes,staff=Med/arrival=Low,136,8.300590768483007
mean_total_minutes,staff=Med/arrival=Med,122,9.669714299458041
p95_wait_minutes,staff=High/arrival=High,126,64.65740665761659
p95_wait_minutes,staff=High/arrival=Low,136,4.839825774534985
p95_wait_minutes,staff=High/arrival=Med,157,19.827107425566652
p95_wait_minutes,staff=Low/arrival=High,132,115.62002600616638
p95_wait_minutes,staff=Low/arrival=Low,128,64.90390156054377
p95_wait_minutes,staff=Low/arrival=Med,121,93.20633891969695
p95_wait_minutes,staff=Med/arrival=High,142,67.76803880323405
p95_wait_minutes,staff=Med/arrival=Low,136,54.961277808604635
p95_wait_minutes,staff=Med/arrival=Med,122,62.290282557565035
