repeat,target,method,coverage,mean_width
0,n_patients,CQR,0.894,40.52275196411557
0,n_patients,Mondrian CQR,0.92,43.65135163616647
0,mean_wait_minutes,CQR,0.883,37.04969235190876
0,mean_wait_minutes,Mondrian CQR,0.916,41.891350755076374
0,mean_total_minutes,CQR,0.866,38.55954278965731
0,mean_total_minutes,Mondrian CQR,0.88,40.904450631668006
0,p95_wait_minutes,CQR,0.914,276.4764408268789
0,p95_wait_minutes,Mondrian CQR,0.919,288.47290033045095
1,n_patients,CQR,0.902,43.894271836909255
1,n_patients,Mondrian CQR,0.914,44.952974305907766
1,mean_wait_minutes,CQR,0.905,39.12056709539748
1,mean_wait_minutes,Mondrian CQR,0.918,43.78372900600365
1,mean_total_minutes,CQR,0.894,40.15475396623396
1,mean_total_minutes,Mondrian CQR,0.898,42.99623711276391
1,p95_wait_minutes,CQR,0.912,279.77037488402107
1,p95_wait_minutes,Mondrian CQR,0.926,297.3210337479338
2,n_patients,CQR,0.902,41.320160606543176
2,n_patients,Mondrian CQR,0.916,43.16615345294276
2,mean_wait_minutes,CQR,0.912,38.80456840681766
2,mean_wait_minutes,Mondrian CQR,0.925,42.621546792175565
2,mean_total_minutes,CQR,0.924,39.8790466581376
2,mean_total_minutes,Mondrian CQR,0.933,42.99355070613921
2,p95_wait_minutes,CQR,0.918,274.1566347240612
2,p95_wait_minutes,Mondrian CQR,0.927,293.1814031201057
3,n_patients,CQR,0.883,40.89293415946678
3,n_patients,Mondrian CQR,0.888,41.62444334685694
3,mean_wait_minutes,CQR,0.9,37.11162401960867
3,mean_wait_minutes,Mondrian CQR,0.921,42.01759653098613
3,mean_total_minutes,CQR,0.902,38.71946958623136
3,mean_total_minutes,Mondrian CQR,0.916,41.667059502135785
3,p95_wait_minutes,CQR,0.9,274.8421378345676
3,p95_wait_minutes,Mondrian CQR,0.912,289.73817011114755
4,n_patients,CQR,0.904,42.5686507825397
4,n_patients,Mondrian CQR,0.921,43.69392010966241
4,mean_wait_minutes,CQR,0.898,38.56671083287652
4,mean_wait_minutes,Mondrian CQR,0.922,43.348642392693144
4,mean_total_minutes,CQR,0.884,39.38187508312109
4,mean_total_minutes,Mondrian CQR,0.899,41.69226792822819
4,p95_wait_minutes,CQR,0.92,279.7296575703912
4,p95_wait_minutes,Mondrian CQR,0.933,301.3337673195427
5,n_patients,CQR,0.898,43.1759604743125
5,n_patients,Mondrian CQR,0.903,44.604660657815636
5,mean_wait_minutes,CQR,0.881,37.75533873042959
5,mean_wait_minutes,Mondrian CQR,0.916,42.833411958544936
5,mean_total_minutes,CQR,0.897,40.84156941315602
5,mean_total_minutes,Mondrian CQR,0.922,43.798497595195336
5,p95_wait_minutes,CQR,0.904,278.3332702585349
5,p95_wait_minutes,Mondrian CQR,0.911,281.7060048322986
6,n_patients,CQR,0.902,41.22899393420826
6,n_patients,Mondrian CQR,0.926,43.86472730545995
6,mean_wait_minutes,CQR,0.886,36.93518638603321
6,mean_wait_minutes,Mondrian CQR,0.909,41.37174479571177
6,mean_total_minutes,CQR,0.897,40.0215373177965
6,mean_total_minutes,Mondrian CQR,0.916,42.187750795789114
6,p95_wait_minutes,CQR,0.885,270.12977914033985
6,p95_wait_minutes,Mondrian CQR,0.892,278.231799565373
7,n_patients,CQR,0.903,41.89796795629149
7,n_patients,Mondrian CQR,0.903,42.86712897029254
7,mean_wait_minutes,CQR,0.899,38.15024681839716
7,mean_wait_minutes,Mondrian CQR,0.917,42.70378344211336
7,mean_total_minutes,CQR,0.903,39.89899081340862
7,mean_total_minutes,Mondrian CQR,0.905,41.960120868441344
7,p95_wait_minutes,CQR,0.9,277.7305553022459
7,p95_wait_minutes,Mondrian CQR,0.918,294.00346000164177
8,n_patients,CQR,0.905,40.90388205394067
8,n_patients,Mondrian CQR,0.91,42.161071124283154
8,mean_wait_minutes,CQR,0.904,37.67880862668527
8,mean_wait_minutes,Mondrian CQR,0.923,42.14694642685196
8,mean_total_minutes,CQR,0.902,41.072246310112824
8,mean_total_minutes,Mondrian CQR,0.913,43.60499242156233
8,p95_wait_minutes,CQR,0.912,270.3425827697777
8,p95_wait_minutes,Mondrian CQR,0.919,280.5307512540546
9,n_patients,CQR,0.895,40.99999467706093
9,n_patients,Mondrian CQR,0.907,42.623739872717316
9,mean_wait_minutes,CQR,0.887,37.97076335377997
9,mean_wait_minutes,Mondrian CQR,0.912,41.26104328031752
9,mean_total_minutes,CQR,0.9,40.6456750845583
9,mean_total_minutes,Mondrian CQR,0.908,41.59852807659976
9,p95_wait_minutes,CQR,0.898,278.7311186705477
9,p95_wait_minutes,Mondrian CQR,0.913,288.6163073117981
10,n_patients,CQR,0.919,41.50174514780599
