repeat,target,method,coverage,mean_width
0,n_patients,GP baseline,0.901,40.83808572651022
0,n_patients,Standard CP,0.907,41.30555934108543
0,n_patients,Mondrian CP,0.926,42.857199478906196
0,mean_wait_minutes,GP baseline,0.858,42.36836118599851
0,mean_wait_minutes,Standard CP,0.882,45.8232555196287
0,mean_wait_minutes,Mondrian CP,0.914,43.48838819534972
0,mean_total_minutes,GP baseline,0.871,42.53366266591355
0,mean_total_minutes,Standard CP,0.89,46.60348534516618
0,mean_total_minutes,Mondrian CP,0.9,44.88651656256942
0,p95_wait_minutes,GP baseline,0.875,350.4010639737343
0,p95_wait_minutes,Standard CP,0.893,375.31684108123096
0,p95_wait_minutes,Mondrian CP,0.914,314.9898875381016
1,n_patients,GP baseline,0.908,42.58977808800938
1,n_patients,Standard CP,0.922,43.611503961196945
1,n_patients,Mondrian CP,0.922,44.01094660869545
1,mean_wait_minutes,GP baseline,0.884,44.55687505302705
1,mean_wait_minutes,Standard CP,0.897,49.02136802437059
1,mean_wait_minutes,Mondrian CP,0.908,41.344903927468565
1,mean_total_minutes,GP baseline,0.892,44.53312319967543
1,mean_total_minutes,Standard CP,0.898,46.923813914319794
1,mean_total_minutes,Mondrian CP,0.903,44.33958915179374
1,p95_wait_minutes,GP baseline,0.878,349.358776471659
1,p95_wait_minutes,Standard CP,0.905,373.453362146207
1,p95_wait_minutes,Mondrian CP,0.908,329.2242546832677
2,n_patients,GP baseline,0.89,39.75355370484604
2,n_patients,Standard CP,0.904,40.00015126393498
2,n_patients,Mondrian CP,0.917,41.69979318703536
2,mean_wait_minutes,GP baseline,0.89,45.27709562407031
2,mean_wait_minutes,Standard CP,0.914,48.01863362588825
2,mean_wait_minutes,Mondrian CP,0.9,39.00959282295669
2,mean_total_minutes,GP baseline,0.908,44.9569951067202
2,mean_total_minutes,Standard CP,0.916,46.26526664052008
2,mean_total_minutes,Mondrian CP,0.934,43.411042922628
2,p95_wait_minutes,GP baseline,0.911,364.4012503740025
2,p95_wait_minutes,Standard CP,0.909,376.40927651318077
2,p95_wait_minutes,Mondrian CP,0.934,330.80486418033394
3,n_patients,GP baseline,0.881,38.681457040495076
3,n_patients,Standard CP,0.88,39.21392430073735
3,n_patients,Mondrian CP,0.887,39.346708560823075
3,mean_wait_minutes,GP baseline,0.898,44.464458582626406
3,mean_wait_minutes,Standard CP,0.906,47.485433043516345
3,mean_wait_minutes,Mondrian CP,0.909,42.366123858717586
3,mean_total_minutes,GP baseline,0.896,43.20146734246036
3,mean_total_minutes,Standard CP,0.901,45.087818738123076
3,mean_total_minutes,Mondrian CP,0.91,42.49611633050126
3,p95_wait_minutes,GP baseline,0.903,367.1077326640239
3,p95_wait_minutes,Standard CP,0.911,372.8447358741852
3,p95_wait_minutes,Mondrian CP,0.903,327.51445800124804
4,n_patients,GP baseline,0.89,39.48987443349698
4,n_patients,Standard CP,0.921,42.94346716435774
4,n_patients,Mondrian CP,0.925,43.331480583977175
4,mean_wait_minutes,GP baseline,0.875,44.39631289919968
4,mean_wait_minutes,Standard CP,0.892,48.502163545792456
4,mean_wait_minutes,Mondrian CP,0.896,40.80260936582291
4,mean_total_minutes,GP baseline,0.889,42.994673962224304
4,mean_total_minutes,Standard CP,0.875,43.78673955594013
4,mean_total_minutes,Mondrian CP,0.881,40.89306659606048
4,p95_wait_minutes,GP baseline,0.888,364.66682830723295
4,p95_wait_minutes,Standard CP,0.907,398.8983125740009
4,p95_wait_minutes,Mondrian CP,0.912,344.8785777363619
5,n_patients,GP baseline,0.899,40.54498504443448
5,n_patients,Standard CP,0.893,41.63402940288415
5,n_patients,Mondrian CP,0.896,42.30493906107984
5,mean_wait_minutes,GP baseline,0.856,43.0416823696692
5,mean_wait_minutes,Standard CP,0.861,44.50891271495614
5,mean_wait_minutes,Mondrian CP,0.895,40.269099311370944
5,mean_total_minutes,GP baseline,0.888,44.56902735179388
5,mean_total_minutes,Standard CP,0.877,45.4007759016248
5,mean_total_minutes,Mondrian CP,0.904,43.48951165637181
5,p95_wait_minutes,GP baseline,0.874,331.16634825748025
5,p95_wait_minutes,Standard CP,0.889,366.3543876748553
5,p95_wait_minutes,Mondrian CP,0.908,312.9793032779282
6,n_patients,GP baseline,0.892,40.170345323000994
6,n_patients,Standard CP,0.911,41.64138767156879
