target,method,n_repeats,coverage_mean,coverage_std,coverage_ci95,width_mean,width_std,width_ci95
mean_total_minutes,GP baseline,30,0.8908666666666666,0.011440199339152303,0.004093822757067476,44.04488550682425,1.06929807681437,0.382643402547173
mean_total_minutes,Mondrian CP,30,0.9077000000000001,0.01155541371855191,0.004135051693237603,43.99199500162851,1.4081673483721433,0.5039062140111641
mean_total_minutes,Standard CP,30,0.8979666666666667,0.012783295493657379,0.004574443543405121,46.57731784044689,1.4124768300087225,0.5054483422094561
mean_wait_minutes,GP baseline,30,0.8830666666666667,0.013038228495422622,0.004665670146475086,44.37765548901186,1.139271121063685,0.40768293485224244
mean_wait_minutes,Mondrian CP,30,0.9107000000000001,0.009886075194869849,0.0035376865744226973,41.736652813435015,1.430270527654952,0.5118157351365364
mean_wait_minutes,Standard CP,30,0.9008666666666667,0.01291279326424219,0.004620783725467784,48.03043146184448,1.5294694424514763,0.5473136109017421
n_patients,GP baseline,30,0.8964,0.010390977518650674,0.003718363550576099,40.479647450822576,0.9621660985442959,0.34430671647644023
n_patients,Mondrian CP,30,0.9103666666666667,0.012620408576733142,0.00451615520877348,42.34001827100918,1.3685244792396423,0.48972019548134066
n_patients,Standard CP,30,0.9013666666666666,0.011454507720824904,0.004098942945691081,41.3927832091478,1.1315815992500622,0.40493127481045976
p95_wait_minutes,GP baseline,30,0.8897333333333334,0.012306245494094434,0.004403733393470399,354.5672615586701,11.45100466408496,4.097689392935922
p95_wait_minutes,Mondrian CP,30,0.9135333333333334,0.012928805938233687,0.004626513787265183,328.61882077458046,13.385260300010827,4.78985388287094
p95_wait_minutes,Standard CP,30,0.9006333333333334,0.010930764346348446,0.003911523786135263,377.1053902296824,12.611114259437743,4.512829280043814
