repeat,target,selected_rho_cap,mondrian_worst,hybrid_worst
0,n_patients,0.75,0.8514851485148515,0.8613861386138614
0,mean_wait_minutes,0.75,0.8648648648648649,0.8648648648648649
0,mean_total_minutes,0.8,0.8378378378378378,0.84
0,p95_wait_minutes,0.8,0.87,0.87
1,n_patients,0.75,0.8782608695652174,0.8782608695652174
1,mean_wait_minutes,0.8,0.8434782608695652,0.8165137614678899
1,mean_total_minutes,0.8,0.8347826086956521,0.8256880733944955
1,p95_wait_minutes,0.95,0.8807339449541285,0.8532110091743119
2,n_patients,0.75,0.8785046728971962,0.8785046728971962
2,mean_wait_minutes,0.85,0.8407079646017699,0.8407079646017699
2,mean_total_minutes,0.75,0.8938053097345132,0.8938053097345132
2,p95_wait_minutes,0.8,0.8782608695652174,0.883495145631068
3,n_patients,0.75,0.8073394495412844,0.8073394495412844
3,mean_wait_minutes,0.8,0.8387096774193549,0.8521739130434782
3,mean_total_minutes,0.75,0.8306451612903226,0.8387096774193549
3,p95_wait_minutes,0.8,0.8387096774193549,0.8695652173913043
4,n_patients,0.75,0.9026548672566371,0.8888888888888888
4,mean_wait_minutes,0.8,0.8434782608695652,0.8608695652173913
4,mean_total_minutes,0.75,0.7565217391304347,0.7565217391304347
4,p95_wait_minutes,0.8,0.8598130841121495,0.8598130841121495
5,n_patients,0.75,0.8503937007874016,0.8503937007874016
5,mean_wait_minutes,0.75,0.7431192660550459,0.7431192660550459
5,mean_total_minutes,0.75,0.8411214953271028,0.85
5,p95_wait_minutes,0.85,0.8740157480314961,0.8661417322834646
6,n_patients,0.75,0.8636363636363636,0.8636363636363636
6,mean_wait_minutes,0.95,0.8596491228070176,0.8333333333333334
6,mean_total_minutes,0.9,0.8522727272727273,0.8817204301075269
6,p95_wait_minutes,0.8,0.8217821782178217,0.8217821782178217
7,n_patients,0.75,0.8695652173913043,0.8608695652173913
7,mean_wait_minutes,0.8,0.8548387096774194,0.87
7,mean_total_minutes,0.75,0.8660714285714286,0.8548387096774194
7,p95_wait_minutes,0.8,0.8225806451612904,0.8387096774193549
8,n_patients,0.75,0.86,0.86
8,mean_wait_minutes,0.8,0.8421052631578947,0.8421052631578947
8,mean_total_minutes,0.8,0.8846153846153846,0.9
8,p95_wait_minutes,0.8,0.7578947368421053,0.7578947368421053
9,n_patients,0.75,0.8333333333333334,0.8492063492063492
9,mean_wait_minutes,0.85,0.8571428571428571,0.8095238095238095
9,mean_total_minutes,0.9,0.8285714285714286,0.8380952380952381
9,p95_wait_minutes,0.8,0.8666666666666667,0.8761904761904762
10,n_patients,0.75,0.8703703703703703,0.8888888888888888
10,mean_wait_minutes,0.8,0.8282828282828283,0.8425925925925926
10,mean_total_minutes,0.8,0.8611111111111112,0.8888888888888888
10,p95_wait_minutes,0.85,0.8518518518518519,0.8518518518518519
11,n_patients,0.75,0.8314606741573034,0.8089887640449438
11,mean_wait_minutes,0.8,0.8598130841121495,0.8598130841121495
11,mean_total_minutes,0.75,0.8421052631578947,0.849624060150376
11,p95_wait_minutes,0.8,0.849624060150376,0.8421052631578947
12,n_patients,0.75,0.8247422680412371,0.8247422680412371
12,mean_wait_minutes,0.8,0.8,0.8076923076923077
12,mean_total_minutes,0.75,0.8526315789473684,0.8526315789473684
12,p95_wait_minutes,0.8,0.823076923076923,0.8076923076923077
13,n_patients,0.75,0.8795180722891566,0.8795180722891566
13,mean_wait_minutes,0.8,0.8817204301075269,0.8817204301075269
13,mean_total_minutes,0.75,0.8785046728971962,0.8785046728971962
13,p95_wait_minutes,0.85,0.8888888888888888,0.8888888888888888
14,n_patients,0.75,0.8552631578947368,0.8552631578947368
14,mean_wait_minutes,0.8,0.8220338983050848,0.847457627118644
14,mean_total_minutes,0.75,0.7980769230769231,0.7884615384615384
14,p95_wait_minutes,0.85,0.8050847457627118,0.8026315789473685
15,n_patients,0.75,0.803921568627451,0.8137254901960784
15,mean_wait_minutes,0.85,0.8571428571428571,0.8979591836734694
15,mean_total_minutes,0.75,0.8775510204081632,0.8495575221238938
15,p95_wait_minutes,0.75,0.9071428571428571,0.8979591836734694
16,n_patients,0.75,0.8454545454545455,0.8545454545454545
16,mean_wait_minutes,0.8,0.8454545454545455,0.8545454545454545
16,mean_total_minutes,0.75,0.8103448275862069,0.8103448275862069
16,p95_wait_minutes,0.8,0.8545454545454545,0.8454545454545455
17,n_patients,0.75,0.8712871287128713,0.8712871287128713
17,mean_wait_minutes,0.85,0.8737864077669902,0.8640776699029126
17,mean_total_minutes,0.8,0.8543689320388349,0.8832116788321168
17,p95_wait_minutes,0.85,0.8881118881118881,0.8540145985401459
18,n_patients,0.75,0.8870967741935484,0.8467741935483871
18,mean_wait_minutes,0.85,0.8865979381443299,0.8762886597938144
18,mean_total_minutes,0.8,0.883495145631068,0.8842975206611571
18,p95_wait_minutes,0.85,0.865979381443299,0.845360824742268
19,n_patients,0.75,0.8791208791208791,0.8767123287671232
19,mean_wait_minutes,0.8,0.8468468468468469,0.8558558558558559
19,mean_total_minutes,0.75,0.8608695652173913,0.8972602739726028
19,p95_wait_minutes,0.8,0.8505747126436781,0.8505747126436781
20,n_patients,0.75,0.8571428571428571,0.8604651162790697
20,mean_wait_minutes,0.8,0.8813559322033898,0.8813559322033898
20,mean_total_minutes,0.8,0.8449612403100775,0.847457627118644
20,p95_wait_minutes,0.8,0.8305084745762712,0.8135593220338984
21,n_patients,0.75,0.8681318681318682,0.8351648351648352
21,mean_wait_minutes,0.8,0.8608695652173913,0.8869565217391304
21,mean_total_minutes,0.75,0.8604651162790697,0.8604651162790697
21,p95_wait_minutes,0.85,0.8527131782945736,0.8837209302325582
22,n_patients,0.75,0.8571428571428571,0.8346456692913385
22,mean_wait_minutes,0.85,0.8608695652173913,0.8706896551724138
22,mean_total_minutes,0.8,0.8620689655172413,0.8275862068965517
22,p95_wait_minutes,0.85,0.8782608695652174,0.8608695652173913
23,n_patients,0.75,0.8148148148148148,0.8148148148148148
23,mean_wait_minutes,0.8,0.8157894736842105,0.8245614035087719
23,mean_total_minutes,0.75,0.8503937007874016,0.8267716535433071
23,p95_wait_minutes,0.85,0.868421052631579,0.8508771929824561
24,n_patients,0.75,0.8525641025641025,0.8589743589743589
24,mean_wait_minutes,0.8,0.8241758241758241,0.8901098901098901
24,mean_total_minutes,0.8,0.83,0.84
24,p95_wait_minutes,0.8,0.8571428571428571,0.8791208791208791
25,n_patients,0.75,0.8235294117647058,0.8117647058823529
25,mean_wait_minutes,0.8,0.7764705882352941,0.8235294117647058
25,mean_total_minutes,0.8,0.8416666666666667,0.8416666666666667
25,p95_wait_minutes,0.8,0.864406779661017,0.864406779661017
26,n_patients,0.75,0.8532110091743119,0.8715596330275229
26,mean_wait_minutes,0.8,0.8348623853211009,0.8348623853211009
26,mean_total_minutes,0.75,0.86,0.853448275862069
26,p95_wait_minutes,0.85,0.8739495798319328,0.8739495798319328
27,n_patients,0.75,0.8598130841121495,0.8598130841121495
27,mean_wait_minutes,0.8,0.8728813559322034,0.8559322033898306
27,mean_total_minutes,0.85,0.8411214953271028,0.8559322033898306
27,p95_wait_minutes,0.85,0.8558558558558559,0.8961038961038961
28,n_patients,0.99,0.7903225806451613,0.782258064516129
28,mean_wait_minutes,0.85,0.8348623853211009,0.8440366972477065
28,mean_total_minutes,0.75,0.8347826086956521,0.8521739130434782
28,p95_wait_minutes,0.85,0.8521739130434782,0.8440366972477065
29,n_patients,0.99,0.8740157480314961,0.8582677165354331
29,mean_wait_minutes,0.85,0.8468468468468469,0.8288288288288288
29,mean_total_minutes,0.75,0.8367346938775511,0.8288288288288288
29,p95_wait_minutes,0.85,0.8679245283018868,0.8738738738738738
