target,region,n_test,unweighted_coverage,unweighted_width,weighted_coverage,weighted_mean_width
n_patients,overlap_region,358,0.9273743016759777,43.6230392055831,0.9273743016759777,43.452201206418756
n_patients,out_of_support_tail,242,0.8264462809917356,43.6230392055831,1.0,
n_patients,overall,600,0.8866666666666667,43.6230392055831,0.9566666666666667,43.452201206418756
mean_wait_minutes,overlap_region,358,0.8770949720670391,47.15513462696663,0.8854748603351955,48.55171427024739
mean_wait_minutes,out_of_support_tail,242,0.6859504132231405,47.15513462696663,1.0,
mean_wait_minutes,overall,600,0.8,47.15513462696663,0.9316666666666666,48.55171427024739
mean_total_minutes,overlap_region,358,0.8910614525139665,46.3862645071311,0.8966480446927374,47.03346431500417
mean_total_minutes,out_of_support_tail,242,0.71900826446281,46.3862645071311,1.0,
mean_total_minutes,overall,600,0.8216666666666667,46.3862645071311,0.9383333333333334,47.03346431500415
p95_wait_minutes,overlap_region,358,0.8547486033519553,362.8642505402199,0.8631284916201117,375.57932727192605
p95_wait_minutes,out_of_support_tail,242,0.7107438016528925,362.8642505402199,1.0,
p95_wait_minutes,overall,600,0.7966666666666666,362.8642505402199,0.9183333333333333,375.57932727192605
